id;start_date;end_date;language
1;2022-04-06T14:54:07;2022-04-06T12:44:22;ENGLISH
2;2022-04-06T00:21:42;2022-04-06T09:47:11;FRENCH
3;2022-04-06T10:17:54;2022-04-05T22:23:02;SPANISH
4;2022-04-06T14:48:43;2022-04-05T20:15:02;FRENCH
5;2022-04-06T17:05:06;2022-04-06T01:24:04;ENGLISH
6;2022-04-06T02:35:49;2022-04-06T16:36:09;SPANISH
7;2022-04-06T10:39:37;2022-04-05T21:13:46;FRENCH
8;2022-04-06T01:05:30;2022-04-05T21:41:19;FRENCH
9;2022-04-06T01:57:08;2022-04-06T13:28:34;FRENCH
10;2022-04-05T21:54:06;2022-04-06T14:51:35;FRENCH
